2024-03-19 10:56:27.459 [info] Log level: Info
2024-03-19 10:56:27.459 [info] Validating found git in: "git"
2024-03-19 10:56:27.459 [info] Using git "2.43.2" from "git"
2024-03-19 10:56:27.460 [info] > git rev-parse --show-toplevel [9ms]
2024-03-19 10:56:27.460 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 10:56:28.364 [info] > git rev-parse --show-toplevel [3ms]
2024-03-19 10:56:30.011 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 10:56:46.315 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 10:57:43.746 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 10:58:03.439 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 10:58:26.429 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 10:58:29.188 [info] > git rev-parse --show-toplevel [5ms]
2024-03-19 11:20:47.773 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 11:21:09.502 [info] > git rev-parse --show-toplevel [2ms]
2024-03-19 11:21:11.420 [info] > git rev-parse --show-toplevel [16ms]
2024-03-19 11:21:12.383 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 11:22:05.192 [info] > git rev-parse --show-toplevel [21ms]
2024-03-19 11:24:53.963 [info] > git rev-parse --show-toplevel [7ms]
2024-03-19 11:27:03.058 [info] > git rev-parse --show-toplevel [7ms]
2024-03-19 11:27:45.379 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 11:30:39.747 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 11:35:52.651 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 11:36:22.169 [info] > git rev-parse --show-toplevel [7ms]
2024-03-19 11:40:08.604 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 11:40:37.041 [info] > git rev-parse --show-toplevel [6ms]
2024-03-19 11:40:50.553 [info] > git rev-parse --show-toplevel [4ms]
2024-03-19 11:41:16.266 [info] > git rev-parse --show-toplevel [2ms]
